,Dataset,Model,Correlation,p-value,L1 Loss
104,RSQ,Best Model,-0.205598,0.051892,1.5777777777777777
105,RSQ,Best Model,0.32402,0.001837,1.3777777777777778
106,RSQ,Best Model,0.427247,2.7e-05,1.3333333333333333
107,RSQ,Best Model,0.051841,0.62749,1.5555555555555556
108,RSQ,Best Model,0.284352,0.006603,1.4666666666666666
109,RSQ,Best Model,0.011866,0.911614,1.6333333333333333
110,RSQ,Best Model,0.341373,0.000992,1.4444444444444444
111,RSQ,Best Model,0.391192,0.000138,1.4555555555555555
112,RSQ,Best Model,0.279363,0.007664,1.4333333333333333
113,RSQ,Best Model,-0.051739,0.630139,1.6
114,RSQ,Best Model,0.135204,0.203881,1.5222222222222221
115,RSQ,Best Model,0.410084,6e-05,1.3777777777777778
116,RSQ,Best Model,0.330831,0.001448,1.4111111111111112
117,RSQ,Best Model,0.294884,0.004781,1.4666666666666666
118,RSQ,Best Model,0.340585,0.001021,1.4444444444444444
119,RSQ,Best Model,0.435549,1.8e-05,1.3888888888888888
120,RSQ,Best Model,0.279198,0.007701,1.4555555555555555
121,RSQ,Best Model,0.223276,0.0344,1.4666666666666666
122,RSQ,Best Model,0.446098,1e-05,1.3777777777777778
123,RSQ,Best Model,0.457851,6e-06,1.4
124,RSQ,Best Model,0.175765,0.097504,1.4333333333333333
125,RSQ,Best Model,0.296656,0.004523,1.4333333333333333
126,RSQ,Best Model,0.61644,0.0,1.288888888888889
127,RSQ,Best Model,0.443105,1.2e-05,1.3777777777777778
128,RSQ,Best Model,0.238212,0.023763,1.511111111111111
129,RSQ,Best Model,0.128883,0.226025,1.5333333333333334
130,RSQ,Best Model,0.228103,0.030594,1.4555555555555555
131,RSQ,Best Model,0.261332,0.012848,1.3888888888888888
132,RSQ,Best Model,0.388868,0.000152,1.4333333333333333
133,RSQ,Best Model,0.033606,0.753181,1.5444444444444445
134,RSQ,Best Model,0.309369,0.003007,1.4444444444444444
135,RSQ,Best Model,0.194441,0.066297,1.4777777777777779
136,RSQ,Best Model,0.310288,0.002917,1.3777777777777778
137,RSQ,Best Model,0.651354,0.0,1.211111111111111
138,RSQ,Best Model,0.583322,0.0,1.2444444444444445
139,RSQ,Best Model,0.469952,3e-06,1.3555555555555556
140,RSQ,Best Model,0.262324,0.012499,1.5222222222222221
141,RSQ,Best Model,0.354576,0.000606,1.4333333333333333
142,RSQ,Best Model,0.314145,0.002567,1.4333333333333333
143,RSQ,Best Model,0.327278,0.00164,1.4222222222222223
144,RSQ,Best Model,0.344798,0.000875,1.4222222222222223
145,RSQ,Best Model,0.453627,7e-06,1.4
146,RSQ,Best Model,0.191851,0.070065,1.488888888888889
147,RSQ,Best Model,0.337717,0.001133,1.4555555555555555
148,RSQ,Best Model,0.411033,5.7e-05,1.3666666666666667
149,RSQ,Best Model,0.472866,3e-06,1.3555555555555556
150,RSQ,Best Model,0.0,1.0,1.5222222222222221
151,RSQ,Best Model,0.303178,0.003676,1.4444444444444444
152,RSQ,Best Model,0.240605,0.022352,1.4777777777777779
153,RSQ,Best Model,0.474591,2e-06,1.3666666666666667
154,RSQ,Best Model,0.0,1.0,1.5666666666666667
155,RSQ,Best Model,0.275056,0.008697,1.5
156,RSQ,Best Model,0.304054,0.003574,1.4222222222222223
157,RSQ,Best Model,0.236433,0.024861,1.4777777777777779
158,RSQ,Best Model,0.055554,0.603014,1.5222222222222221
159,RSQ,Best Model,0.217404,0.039558,1.488888888888889
160,RSQ,Best Model,0.410653,5.8e-05,1.3777777777777778
161,RSQ,Best Model,0.349099,0.000745,1.4444444444444444
162,RSQ,Best Model,0.427185,2.7e-05,1.4111111111111112
163,RSQ,Best Model,-0.182081,0.085866,1.6222222222222222
164,RSQ,Best Model,0.297906,0.004348,1.4777777777777779
165,RSQ,Best Model,0.369574,0.000337,1.4111111111111112
166,RSQ,Best Model,0.084879,0.426373,1.5222222222222221
167,RSQ,Best Model,0.356574,0.000561,1.4333333333333333
168,RSQ,Best Model,0.456117,6e-06,1.3888888888888888
169,RSQ,Best Model,0.227811,0.030813,1.4555555555555555
170,RSQ,Best Model,0.097005,0.36306,1.5222222222222221
171,RSQ,Best Model,0.046357,0.664384,1.5444444444444445
172,RSQ,Best Model,0.44009,1.4e-05,1.4333333333333333
173,RSQ,Best Model,0.227531,0.031025,1.4555555555555555
174,RSQ,Best Model,0.464434,4e-06,1.3333333333333333
175,RSQ,Best Model,-0.088719,0.405668,1.6
176,RSQ,Best Model,0.211939,0.044924,1.5
177,RSQ,Best Model,0.133381,0.210101,1.5222222222222221
178,RSQ,Best Model,0.111323,0.296213,1.6111111111111112
